Longitude,Latitude,GravelD50,GravelPercent,MudPercent,OrbitalVelMax,OrbitalVelMean,Permeability,POC,Porosity,Rock10cm,Rock50cm,SandD50,SandPercent,SurfaceCarbon,SurfaceNitrogen,TidalVelMax,TidalVelMean,TN,TotalD50
-9.3125,57.3125,5.276160717,9.393240929,2.079220295,0.136453316,0.013570996,1.24E-11,0.385443449,0.378479183,0,0,0.345303357,88.52753448,0.634837031,0.103685707,32.97134781,13.48943329,0.062953129,0.429932475
-9.1875,57.3125,5.024513245,4.980309486,0.38422069,0.255323589,0.031947933,8.64E-12,0.323392957,0.38012132,0,0,0.384224653,94.63546753,0.531230688,0.087397918,38.19240189,16.53581047,0.053204518,0.397235841
-9.0625,57.3125,6.749044895,16.90183258,0.295331419,0.260582298,0.032634106,5.82E-11,0.334845662,0.373378873,0,0,0.545224547,82.80283356,0.556026578,0.087871797,39.35419846,16.3056221,0.052917413,0.600598514
-8.9375,57.3125,5.351260662,8.234125137,0.563886821,0.259250015,0.032185901,1.52E-11,0.33282432,0.377663732,0,0,0.389925271,91.20198822,0.548890948,0.087393753,40.32725143,15.33674049,0.052991893,0.448889285
-8.8125,57.3125,4.501322269,0.742339134,4.906228065,0.246416315,0.029776467,7.81E-13,0.356909394,0.397482187,0,0,0.241150483,94.3514328,0.569867253,0.08683797,38.80955887,13.94756603,0.05438685,0.235928878
-8.6875,57.3125,4.709554195,2.332900047,4.414463043,0.242282212,0.028879521,1.59E-12,0.345013618,0.390927017,0,0,0.270327747,93.25263977,0.556866944,0.087805592,39.56568146,14.46932793,0.054401014,0.275099844
-8.5625,57.3125,5.119686604,7.560827255,1.470514297,0.249420047,0.029864283,1.11E-11,0.334387302,0.378967524,0,0,0.20770739,90.96865845,0.550313234,0.088277377,42.36144257,16.25003242,0.05364006,0.419511139
-8.4375,57.3125,4.869601727,4.519141197,1.218182683,0.236824617,0.027577801,6.62E-12,0.353409588,0.381455392,0,0,0.233393669,94.26268005,0.5792889,0.085627116,43.59506607,16.19144821,0.052238949,0.374886364
-8.3125,57.3125,7.091296673,20.05930328,0.59082377,0.317051828,0.04146944,5.76E-11,0.310956776,0.373405397,0.5,0.5,0.304763675,79.3498764,0.516336203,0.084072009,42.52249527,14.22522354,0.050631277,0.599234343
-8.1875,57.3125,6.73723793,21.44601059,1.42446208,0.308268726,0.039546929,3.92E-11,0.316272765,0.374447972,0,0,0.37613371,77.12952423,0.524289429,0.081580438,41.84844208,14.27366638,0.049212646,0.551180542
-8.0625,57.3125,6.010212898,16.21751022,1.608580112,0.285384983,0.035135441,3.61E-11,0.3100954,0.374687463,1,1,0.43559733,82.17391205,0.513852358,0.081646487,38.56953049,12.57791424,0.049271353,0.54148066
-7.9375,57.3125,4.580489635,0.629099071,0.899006128,0.360210449,0.04898474,1.29E-12,0.299721688,0.392655879,0,0,0.546725333,98.47189331,0.482390612,0.075662419,34.61965942,11.70528793,0.047011003,0.263279736
-7.8125,57.3125,5.055877686,4.761320591,0.083067298,0.468153179,0.071990088,8.50E-12,0.304073721,0.380201727,1,1,0.657853305,95.15560913,0.499430567,0.074554943,34.54844666,11.9009676,0.045392092,0.395793319
-7.6875,57.3125,9.480853081,29.44366837,0.069205187,0.723326445,0.137260288,6.12E-11,0.347519219,0.373253047,0,1,0.617159069,70.48712921,0.577187538,0.078403436,43.38838577,14.64057064,0.047205977,0.607186079
-7.5625,57.3125,7.372220993,33.2601738,4.345995903,0.807096958,0.160027295,7.38E-11,0.402157813,0.37280342,0,0,0.381273478,62.39382935,0.668414831,0.081554264,43.7089653,13.74485683,0.049067859,0.632327437
-7.0625,57.3125,5.843111515,9.460567474,21.21781349,0.193902209,0.018401781,6.60E-13,0.715822518,0.399247915,0,0,0.614259899,69.32161713,1.139584422,0.10581325,64.11058044,22.20425224,0.066465907,0.227538168
